Image,CD11c (Opal 520): Mean
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3828
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4218
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1253
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.6107
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9836
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0606
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8068
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5176
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3002
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3433
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4673
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.6818
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2796
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.3144
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.7338
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6565
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2887
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9752
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2678
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4521
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7988
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3569
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5368
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9357
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4725
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.0686
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",10.833
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5694
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4672
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.827
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8182
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3763
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8513
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1962
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.7172
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1336
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4694
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5654
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.0049
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.1836
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.1023
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6653
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.3905
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4475
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.9683
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.5495
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",6.0874
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.2252
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8254
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6386
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0565
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.2886
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.9203
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.4914
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.1846
